iso3,IndicatorCode,Year,Value,IndicatorName
BRN,NY.GDP.PCAP.CD,2005,26337.9181126619,PIB per cápita (USD)
BRN,SP.POP.TOTL,2005,361889.0,Población total
BGR,NY.GDP.PCAP.CD,2005,3852.97775647268,PIB per cápita (USD)
BGR,SP.POP.TOTL,2005,7739900.0,Población total
BGR,GB.XPD.RSDV.GD.ZS,2005,0.45129,Gasto I+D (% PIB)
BGR,SP.POP.SCIE.RD.P6,2005,1308.53899,Investigadores por millón hab.
BFA,NY.GDP.PCAP.CD,2005,406.998837384044,PIB per cápita (USD)
BFA,SP.POP.TOTL,2005,13421929.0,Población total
BFA,GB.XPD.RSDV.GD.ZS,2005,0.17057,Gasto I+D (% PIB)
BDI,NY.GDP.PCAP.CD,2005,140.815135598437,PIB per cápita (USD)
BDI,SP.POP.TOTL,2005,7934213.0,Población total
CPV,NY.GDP.PCAP.CD,2005,2049.6156926513,PIB per cápita (USD)
CPV,SP.POP.TOTL,2005,474224.0,Población total
KHM,NY.GDP.PCAP.CD,2005,472.448855862778,PIB per cápita (USD)
KHM,SP.POP.TOTL,2005,13320058.0,Población total
CMR,NY.GDP.PCAP.CD,2005,915.091287679653,PIB per cápita (USD)
CMR,SP.POP.TOTL,2005,18126999.0,Población total
CAN,NY.GDP.PCAP.CD,2005,36028.2324902754,PIB per cápita (USD)
CAN,SP.POP.TOTL,2005,32312000.0,Población total
CAN,GB.XPD.RSDV.GD.ZS,2005,1.98645,Gasto I+D (% PIB)
CAN,SP.POP.SCIE.RD.P6,2005,4237.92748,Investigadores por millón hab.
CYM,SP.POP.TOTL,2005,48623.0,Población total
CAF,NY.GDP.PCAP.CD,2005,332.946640076818,PIB per cápita (USD)
CAF,SP.POP.TOTL,2005,4055608.0,Población total
TCD,NY.GDP.PCAP.CD,2005,660.181556791972,PIB per cápita (USD)
TCD,SP.POP.TOTL,2005,10067932.0,Población total
CHI,NY.GDP.PCAP.CD,2005,57209.2491624825,PIB per cápita (USD)
CHI,SP.POP.TOTL,2005,154298.0,Población total
CHL,NY.GDP.PCAP.CD,2005,7728.611897417591,PIB per cápita (USD)
CHL,SP.POP.TOTL,2005,16096571.0,Población total
CHN,NY.GDP.PCAP.CD,2005,1740.09672638011,PIB per cápita (USD)
CHN,SP.POP.TOTL,2005,1303720000.0,Población total
CHN,GB.XPD.RSDV.GD.ZS,2005,1.31793,Gasto I+D (% PIB)
CHN,SP.POP.SCIE.RD.P6,2005,856.84548,Investigadores por millón hab.
COL,NY.GDP.PCAP.CD,2005,3386.0254776104102,PIB per cápita (USD)
COL,SP.POP.TOTL,2005,43285636.0,Población total
COL,GB.XPD.RSDV.GD.ZS,2005,0.17454,Gasto I+D (% PIB)
COL,SP.POP.SCIE.RD.P6,2005,165.47303,Investigadores por millón hab.
COM,NY.GDP.PCAP.CD,2005,614.8613272620449,PIB per cápita (USD)
COM,SP.POP.TOTL,2005,618632.0,Población total
ZAR,NY.GDP.PCAP.CD,2005,213.310458975988,PIB per cápita (USD)
ZAR,SP.POP.TOTL,2005,56089536.0,Población total
ZAR,GB.XPD.RSDV.GD.ZS,2005,0.05799,Gasto I+D (% PIB)
COG,NY.GDP.PCAP.CD,2005,1737.61154643105,PIB per cápita (USD)
COG,SP.POP.TOTL,2005,3503086.0,Población total
CRI,NY.GDP.PCAP.CD,2005,4700.01492584503,PIB per cápita (USD)
CRI,SP.POP.TOTL,2005,4247843.0,Población total
